,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
229243,145849.0,2.05507868525521,-0.144314693270921,-1.67530602062666,0.468070471270636,0.102797649846895,-1.3062094587591,0.427408326664167,-0.367945374447812,0.576727362331082,0.132325437134526,-1.11705532030498,-0.339164925455381,-1.39928464373039,0.672999688374932,-0.251946354388838,-0.545436284160365,0.0340418685325036,-0.753509564305513,0.156852056142422,-0.294602573106318,-0.0396228996784944,0.0134162579108435,0.0775729814874417,-0.0565534672072345,0.124074453695517,0.570920593359287,-0.104852701060244,-0.0781729968853237,19.99,0
196944,131770.0,0.0241230970822107,0.762632527857746,0.16822848822658,-0.770197358720185,0.565429185673764,-0.6342276178237,0.857351674171467,-0.0037709453629995,-0.185898955627842,-0.222402404291613,0.378019910200067,0.383836866427796,-0.652515886639109,0.415833689113262,-1.01086835980883,0.225977697737642,-0.739248401432691,-0.0712564529161433,0.330490644696787,-0.0591115520821881,-0.237456848294526,-0.56964143807326,0.024010077247804,-0.360184283021718,-0.498393553226976,0.14279017429756,0.238988434334382,0.0825997622162508,2.58,0
252368,155774.0,-0.87555203897563,0.710885730817106,-0.0335655456880846,-1.06693460659194,1.10792711649657,-0.764694784660578,1.63097759465451,-0.349089630589204,-0.120631245654229,-0.823634865624603,0.883513751941384,-0.0391107582639982,-0.595803406852392,-0.883135399894855,-0.351597366560015,0.573024124361479,-0.312312056696398,1.13832964136012,-0.737333712010253,-0.0332763839501241,0.193049232389948,0.921189692674406,-0.173905812815804,-0.482049222339226,0.357784016450712,-0.220971945036044,0.134861188368519,-0.0647771313222964,82.44,0
221498,142589.0,-1.12600111934535,0.665716492317554,-0.293938498681255,0.619190240767392,2.56115824472114,-1.29743643822008,1.09950018198101,-0.11201359706548,-1.05291955457581,-0.850274842151066,-1.12463062865702,-1.78723296486894,-2.32309291289925,-0.0242627948128422,0.657872852041407,-0.192750920641929,0.781402708934296,0.682672089673678,0.0296257862446563,0.0893752081963325,0.13601724800604,0.0305167950209596,-0.526373050146814,0.26818775764717,1.30722089446767,-0.213565933127247,-0.0287881596910385,0.082184483481183,3.99,0
142945,85029.0,1.2386639271386,0.340022165145746,0.202414490713123,0.493995013137739,-0.100913972293271,-0.546944999961257,0.0150866769320613,-0.0685316971805348,-0.292718664689104,-0.13000817799459,1.4381547801867,1.12480957409898,0.780654656897274,-0.226652128636549,0.353524485438332,0.743277899217554,-0.40866611316342,0.231708763943388,0.211215305175773,-0.023567079225759,-0.251342231411469,-0.729772820171114,0.0701268778138597,-0.0210394557197499,0.249826377721452,0.0954579890570794,-0.0233469662054174,0.0184096154247778,0.89,0
129803,79217.0,-0.602161586114921,1.23940517159946,1.08068984720543,-0.182240523845793,0.248517207756229,-0.499518390773167,0.590162190721918,0.0930700670911942,-0.477830963027437,-0.03818950497833,1.26011030996865,0.648248779300298,0.346639434617021,-0.373257665201629,0.205457905635865,0.641209053896237,-0.384795906584571,0.416317928362041,0.291335976257288,0.279516031475995,-0.260954274758298,-0.638459820831469,-0.0528366399573722,-0.0450567159767151,-0.0846278533702483,0.0787908372229699,0.347631506252252,0.149900478697679,1.79,0
129322,79042.0,-1.4538965678901,1.27426459758832,0.934635756689669,-0.559386177423411,0.434717698693373,-0.666823401242822,0.514060155252343,0.344604263478684,-0.623916339224178,-0.981597335618204,-1.07424825405918,0.0504029440380969,0.769876185829267,-0.319075933452014,0.540290262178288,0.958531001735465,-0.379745745857373,0.0345293477275486,-0.37925304652695,-0.0031797234291177,-0.28210999343216,-0.966026695349051,-0.335906543411449,-0.484545471258683,0.397356218876003,0.0708177858154073,0.0400865245783571,-0.0238602770680822,19.44,0
180625,124624.0,-0.534168562323155,0.179383709061612,-1.00367065991342,-1.515676400907,3.68491108165693,3.0762197278288,0.523978987883281,0.666542835934149,-0.339608300022589,-1.11570812063527,0.384538452930753,-0.467056720763285,-0.388001236408494,-0.850260251059346,1.15712796143314,0.0630780990843527,0.20627967619932,0.515922913459011,-0.609847530347208,0.263663285671524,0.163430052807648,0.359094269081294,-0.412930116758812,0.625195769390127,1.2297477944543,0.032437299705066,-0.283885111258263,-0.323564310555424,45.0,0
5995,6712.0,-2.09389184050325,2.02910640396108,1.85973120942778,0.697002840609057,0.237123230537248,0.0450818909623704,0.96617232925831,-0.785483981922994,1.66058310820786,0.533335964146328,0.918450027976023,-1.83138016595102,2.34096677181962,0.555511710046481,-0.987099780812035,-1.27756620279523,0.932429144239259,-0.877034420029502,-0.408192393308816,-0.205934145566228,0.0138070498980788,0.009551248828962,-0.287461455028947,0.363625936646281,0.35749191431043,-0.538920313324239,-1.88184209614194,-0.176290149558201,16.45,0
128179,78628.0,-1.98846890609865,-0.0782174665705993,1.15469829033764,0.252343625002984,0.4913797579017,0.201783355470472,-0.210452830737514,0.866115010118819,-0.218106503476689,-0.44074175884204,1.03158953926092,0.67000589117652,-1.08748307092145,0.514473469864524,-0.478657722798725,-0.617336662641136,0.560647258283513,-0.765060338426173,0.0372508589642309,-0.270919664589839,-0.0942787748990101,0.0543717420122737,0.770836536440265,-0.303044229586626,-0.0089193219649513,0.30878577503909,0.206247544703821,-0.0075451233826522,15.67,0
